frame,state,src,err,curv,speed,steer,light_phase,light,light_area
353,DRIVE,road,0.0,-0.0015,0.482,0.02,GO,None,0
354,DRIVE,road,0.0,-0.001,0.532,0.01,GO,None,0
355,DRIVE,road,0.0,-0.0006,0.582,0.01,GO,None,0
356,DRIVE,road,0.0,-0.0004,0.6,0.0,GO,None,0
357,DRIVE,road,-0.1656,0.0577,0.528,8.37,GO,None,0
358,DRIVE,center,-0.0679,0.0029,0.578,-0.63,GO,None,0
359,DRIVE,center,0.0151,-0.0648,0.551,-2.21,GO,None,0
360,DRIVE,center,-0.0291,-0.094,0.527,2.96,GO,None,0
361,DRIVE,center,0.0062,-0.1294,0.506,0.09,GO,None,0
362,DRIVE,center,-0.0206,-0.1761,0.47,3.06,GO,None,0
363,DRIVE,center,-0.0206,-0.2065,0.449,2.56,GO,None,0
364,DRIVE,center,-0.0953,-0.2127,0.43,6.65,GO,None,0
365,DRIVE,center,-0.0792,-0.198,0.444,3.4,GO,None,0
366,DRIVE,center,-0.1501,-0.1632,0.455,7.36,GO,None,0
367,DRIVE,center,-0.1982,-0.1277,0.472,7.47,GO,None,0
368,DRIVE,center,-0.1515,-0.1382,0.473,3.62,GO,None,0
369,DRIVE,center,-0.2262,-0.1056,0.482,8.73,GO,None,0
370,DRIVE,center,-0.2262,-0.0845,0.497,6.27,GO,None,0
371,DRIVE,center,-0.2753,-0.08,0.491,8.88,GO,None,0
372,DRIVE,center,-0.4835,-0.063,0.465,17.88,GO,None,0
373,DRIVE,center,-0.6362,-0.0198,0.467,20.0,GO,None,0
